,predation_risk,vigilance_total,vigilance_avg,time,group_size_prey
0,5.0,4.78245990023405,0.2391229950117025,0.0,20.0
0,5.0,4.78245990023405,0.2391229950117025,1.0,20.0
0,5.0,4.78245990023405,0.2391229950117025,2.0,20.0
0,5.0,4.78245990023405,0.2391229950117025,3.0,20.0
0,5.0,4.78245990023405,0.2391229950117025,4.0,20.0
0,5.0,4.78245990023405,0.2391229950117025,5.0,20.0
0,5.0,4.78245990023405,0.2391229950117025,6.0,20.0
0,5.0,4.78245990023405,0.2391229950117025,7.0,20.0
0,5.0,4.78245990023405,0.2391229950117025,8.0,20.0
0,5.0,3.5071372601716373,0.23912299501170253,9.0,14.666666666666666
0,5.0,3.188306600156034,0.23912299501170256,10.0,13.333333333333334
0,5.0,3.188306600156034,0.23912299501170256,11.0,13.333333333333334
0,5.0,3.188306600156034,0.23912299501170256,12.0,13.333333333333334
0,5.0,3.188306600156034,0.23912299501170256,13.0,13.333333333333334
0,5.0,3.188306600156034,0.23912299501170256,14.0,13.333333333333334
0,5.0,3.188306600156034,0.23912299501170256,15.0,13.333333333333334
0,5.0,2.5506452801248276,0.23912299501170256,16.0,10.666666666666666
0,5.0,2.470937615120927,0.23912299501170256,17.0,10.333333333333334
0,5.0,2.470937615120927,0.23912299501170256,18.0,10.333333333333334
0,5.0,2.391229950117026,0.23912299501170256,19.0,10.0
0,5.0,2.391229950117026,0.23912299501170256,20.0,10.0
0,5.0,2.391229950117026,0.23912299501170256,21.0,10.0
0,5.0,2.391229950117026,0.23912299501170256,22.0,10.0
0,5.0,2.391229950117026,0.23912299501170256,23.0,10.0
0,5.0,2.0723992901014228,0.23912299501170264,24.0,8.666666666666666
0,5.0,1.6738609650819185,0.23912299501170264,25.0,7.0
0,5.0,1.514445635074117,0.23912299501170264,26.0,6.333333333333333
0,5.0,1.514445635074117,0.23912299501170264,27.0,6.333333333333333
0,5.0,1.514445635074117,0.23912299501170264,28.0,6.333333333333333
0,5.0,1.514445635074117,0.23912299501170264,29.0,6.333333333333333
0,5.0,1.514445635074117,0.23912299501170264,30.0,6.333333333333333
0,5.0,1.434737970070216,0.23912299501170264,31.0,6.0
0,5.0,1.434737970070216,0.23912299501170264,32.0,6.0
0,5.0,1.3550303050663153,0.23912299501170264,33.0,5.666666666666667
0,5.0,1.3550303050663153,0.23912299501170264,34.0,5.666666666666667
0,5.0,1.3550303050663153,0.23912299501170264,35.0,5.666666666666667
0,5.0,1.3550303050663153,0.23912299501170264,36.0,5.666666666666667
0,5.0,1.3550303050663153,0.23912299501170264,37.0,5.666666666666667
0,5.0,1.3550303050663153,0.23912299501170264,38.0,5.666666666666667
0,5.0,1.3550303050663153,0.23912299501170264,39.0,5.666666666666667
0,5.0,1.3550303050663153,0.23912299501170264,40.0,5.666666666666667
0,5.0,1.275322640062414,0.23912299501170264,41.0,5.333333333333333
0,5.0,1.275322640062414,0.23912299501170264,42.0,5.333333333333333
0,5.0,1.275322640062414,0.23912299501170264,43.0,5.333333333333333
0,5.0,1.275322640062414,0.23912299501170264,44.0,5.333333333333333
0,5.0,1.1956149750585132,0.23912299501170264,45.0,5.0
0,5.0,1.1956149750585132,0.23912299501170264,46.0,5.0
0,5.0,1.1956149750585132,0.23912299501170264,47.0,5.0
0,5.0,1.1956149750585132,0.23912299501170264,48.0,5.0
0,5.0,1.1956149750585132,0.23912299501170264,49.0,5.0
0,5.0,1.1956149750585132,0.23912299501170264,50.0,5.0
0,5.0,1.1956149750585132,0.23912299501170264,51.0,5.0
0,5.0,1.1956149750585132,0.23912299501170264,52.0,5.0
0,5.0,1.1956149750585132,0.23912299501170264,53.0,5.0
0,5.0,1.1956149750585132,0.23912299501170264,54.0,5.0
0,5.0,1.1956149750585132,0.23912299501170264,55.0,5.0
0,5.0,1.1159073100546122,0.23912299501170264,56.0,4.666666666666667
0,5.0,1.1159073100546122,0.23912299501170264,57.0,4.666666666666667
0,5.0,1.1159073100546122,0.23912299501170264,58.0,4.666666666666667
0,5.0,1.1159073100546122,0.23912299501170264,59.0,4.666666666666667
0,5.0,1.1159073100546122,0.23912299501170264,60.0,4.666666666666667
0,5.0,1.1159073100546122,0.23912299501170264,61.0,4.666666666666667
0,5.0,1.0361996450507114,0.23912299501170264,62.0,4.333333333333333
0,5.0,1.0361996450507114,0.23912299501170264,63.0,4.333333333333333
0,5.0,1.0361996450507114,0.23912299501170264,64.0,4.333333333333333
0,5.0,1.0361996450507114,0.23912299501170264,65.0,4.333333333333333
0,5.0,0.9564919800468106,0.23912299501170264,66.0,4.0
0,5.0,0.9564919800468106,0.23912299501170264,67.0,4.0
0,5.0,0.9564919800468106,0.23912299501170264,68.0,4.0
0,5.0,0.9564919800468106,0.23912299501170264,69.0,4.0
0,5.0,0.9564919800468106,0.23912299501170264,70.0,4.0
0,5.0,0.9564919800468106,0.23912299501170264,71.0,4.0
0,5.0,0.9564919800468106,0.23912299501170264,72.0,4.0
0,5.0,0.9564919800468106,0.23912299501170264,73.0,4.0
0,5.0,0.9564919800468106,0.23912299501170264,74.0,4.0
0,5.0,0.9564919800468106,0.23912299501170264,75.0,4.0
0,5.0,0.9564919800468106,0.23912299501170264,76.0,4.0
0,5.0,0.9564919800468106,0.23912299501170264,77.0,4.0
0,5.0,0.9564919800468106,0.23912299501170264,78.0,4.0
0,5.0,0.9564919800468106,0.23912299501170264,79.0,4.0
0,5.0,0.9564919800468106,0.23912299501170264,80.0,4.0
0,5.0,0.9564919800468106,0.23912299501170264,81.0,4.0
